Exercise Name,Short Description,Main Muscle Group [List],Equipment Required [List],Difficulty Level,Key Form Cues,Visual Reference
Resistance Band Rows,Rows using resistance band,"[Lats, Rhomboids]",[Resistance Band],Beginner,• Anchor band • Pull to chest • Squeeze back • Control return • Portable option,
Resistance Band Chest Press,Chest press with resistance band,"[Chest, Triceps]",[Resistance Band],Beginner,• Anchor behind • Press forward • Squeeze chest • Control return • Travel-friendly,
Resistance Band Lateral Walks,Side steps with band around legs,"[Glutes, Abductors]",[Resistance Band],Beginner,• Band around ankles or knees • Step sideways • Maintain tension • Keep posture • Glute activation,
Resistance Band Pull-aparts,Pull band apart at chest level,"[Rear Delts, Rhomboids]",[Resistance Band],Beginner,• Hold band at chest • Pull apart • Squeeze shoulder blades • Control return • Great for posture,
Medicine Ball Slams,Slam ball down explosively,"[Core, Power]",[Medicine Ball],Intermediate,• Lift ball overhead • Slam down hard • Use whole body • Pick up and repeat • Explosive movement,
Medicine Ball Throws,Throw ball against wall or to partner,"[Power, Core]",[Medicine Ball],Intermediate,• Various directions • Explosive throws • Catch and repeat • Reactive training • Sport-specific,
Wall Ball Shots,Squat and throw ball to wall target,"[Full Body, Power]",[Medicine Ball],Intermediate,• Squat with ball • Explosive throw to target • Catch and repeat • Functional movement • CrossFit staple,
Russian Twists,Seated rotation with medicine ball,"[Core, Obliques]",[Medicine Ball],Beginner,• Sit with ball • Lean back slightly • Rotate side to side • Engage core • Can lift feet for challenge,
Stability Ball Crunches,Crunches on stability ball,[Core],[Stability Ball],Beginner,• Lie on ball • Hands behind head • Crunch up • Greater range of motion • Back support,
Stability Ball Pike,Pike position on stability ball,"[Core, Shoulders]",[Stability Ball],Intermediate,• Plank with feet on ball • Pike hips up • Control movement • Engage core • Challenging variation,
Stability Ball Hamstring Curls,Curl heels to glutes using ball,"[Hamstrings, Glutes]",[Stability Ball],Intermediate,• Lie on back • Feet on ball • Bridge and curl • Squeeze hamstrings • Control extension,
Dead Bug,Core stability exercise lying on back,"[Core, Stability]",[None],Beginner,• Lie on back • Opposite arm and leg movements • Keep core engaged • Control the movement • Anti-extension pattern,
Bird Dog,Opposite arm and leg extension from hands and knees,"[Core, Lower Back]",[None],Beginner,• Hands and knees • Extend opposite arm and leg • Hold position • Keep hips level • Core stability,
Sit-ups,Classic abdominal exercise,[Core],[None],Beginner,• Lie on back • Sit up to knees • Lower controlled • Hands behind head or across chest • Classic core exercise,
Crunches,Partial sit-up focusing on upper abs,[Core],[None],Beginner,• Lie on back • Lift shoulders off ground • Focus on upper abs • Control the movement • Don't pull on neck,
Bicycle Crunches,Alternating elbow to knee crunches,"[Core, Obliques]",[None],Beginner,• Lie on back • Alternate elbow to opposite knee • Keep other leg extended • Smooth motion • Work obliques,
Leg Raises,Raise legs from lying position,"[Lower Abs, Hip Flexors]",[None],Beginner,• Lie on back • Raise legs up • Lower controlled • Keep lower back pressed down • Focus on lower abs,
Hanging Leg Raises,Leg raises hanging from bar,"[Core, Grip]",[Pull-up Bar],Intermediate,• Hang from bar • Raise knees to chest • Control lowering • Engage core • Advanced core exercise,
V-ups,Reach hands to feet in V position,[Core],[None],Intermediate,• Lie on back • Reach hands to feet • Form V shape • Lower controlled • Challenging core exercise,
Flutter Kicks,Alternating leg movements while lying,"[Lower Abs, Hip Flexors]",[None],Beginner,• Lie on back • Alternate small leg movements • Keep legs straight • Control the movement • Continuous motion,
Scissor Kicks,Crossing leg movements while lying,"[Lower Abs, Hip Flexors]",[None],Beginner,• Lie on back • Cross legs over and under • Keep legs straight • Smooth motion • Engage core,
